depth,tempdepth,temp,EdZTilt,EdZRoll,EdZPitch,Ed0Tilt,Ed0Roll,Ed0Pitch
0.72551,1.07851,21.5097,3.779571,3.777001,0.1397877,-2.935836,-1.817544,2.307119
0.730001,1.083001,21.50048,3.717427,3.706957,0.2795763,-3.033952,-1.887474,2.377071
0.734937,1.087937,21.50483,3.738928,3.706957,0.4892626,-3.132104,-1.957407,2.447027
0.740046,1.093046,21.48846,3.785417,3.706957,0.7688549,-3.132104,-1.957407,2.447027
0.745276,1.098276,21.50487,3.833247,3.706957,0.9785607,-3.221157,-2.097282,2.447027
0.750007,1.103007,21.51227,3.913535,3.706957,1.25819,-3.458518,-2.447027,2.447027
0.754792,1.107792,21.50542,3.960442,3.706957,1.398015,-3.459938,-2.516986,2.377071
0.760532,1.113532,21.509,3.974701,3.63692,1.607768,-3.562794,-2.656917,2.377071
0.765806,1.118806,21.51001,3.939902,3.566888,1.677691,-3.721617,-2.866842,2.377071
0.770956,1.123956,21.50517,3.939902,3.566888,1.677691,-3.579316,-2.796863,2.23717
0.77629,1.12929,21.51012,3.907309,3.496861,1.747616,-3.70413,-3.006814,2.167225
0.782806,1.135806,21.50939,3.847095,3.496861,1.607768,-3.9556,-3.356823,2.097282
0.788177,1.141177,21.50804,3.583863,3.356823,1.25819,-4.015083,-3.426839,2.097282
0.793396,1.146396,21.50879,3.277482,3.216805,0.6290568,-4.015083,-3.426839,2.097282
0.799205,1.152205,21.49816,3.079968,3.076806,-0.1397877,-4.074903,-3.496861,2.097282
0.804419,1.157419,21.50768,3.035811,3.006814,-0.4193665,-4.039529,-3.496861,2.027343
0.810432,1.163432,21.5112,3.058176,3.006814,-0.5591593,-4.100198,-3.566888,2.027343
0.815111,1.168111,21.50071,3.073714,2.936826,-0.9086576,-3.919134,-3.356823,2.027343
0.819858,1.172858,21.50951,3.129944,2.866842,-1.25819,-3.800094,-3.216805,2.027343
